コード,修正機種名,件数,台数,最小値,最大値,合計額,中心価格,前回
p10084,Ｐメイドインアビス　虹の黄金域,0,0,0,0,0,4526,4684
p9745,Ｐ　ＴＩＧＥＲ　＆　ＢＵＮＮＹ　～完全無欠ＷＩＬＤスペック～,0,0,0,0,0,4500,3000
p10022,Ｐ保４のガチャバスター,0,0,0,0,0,4500,4500
p9776,Ｐ地獄少女覚醒３０００Ｖｅｒ．,0,0,0,0,0,4384,4384
p9986,Ｐ緋弾のアリア　～緋緋神降臨～　ラッキートリガーＶｅｒ．,0,0,0,0,0,4350,4050
p9763,Ｐルパン三世　２０００カラットの涙　１２９ｖｅｒ．,0,0,0,0,0,4333,4500
p9794,Ｐとある科学の超電磁砲　最強御坂ｖｅｒ．,0,0,0,0,0,4265,4931
p9930,ぱちんこ　水戸黄門　超極上,0,0,0,0,0,4111,4111
p10083,Ｐいくさの子　織田三郎信長伝,0,0,0,0,0,4000,3833
p9734,Ｐダイナマイトキング～無敵ＳＰＥＣ～,0,0,0,0,0,4000,
p9744,ＰＡゴールデン鳳凰∞Ｊｒ．９９,0,0,0,0,0,4000,4000
p9840,Ｐアナザーゴッドハーデス‐狂乱‐,0,0,0,0,0,4000,2000
p9795,ＰＦ炎炎ノ消防隊,0,0,0,0,0,3909,3900
p9791,Ｐ宇宙戦艦ヤマト２２０２　‐ＯＮＬＹ　ＯＮＥ‐　ＬＩＧＨＴ　Ｖｅｒ．,0,0,0,0,0,3816,3842
p9758,ＰハイスクールＤ×Ｄ真紅ＧＣＡ,0,0,0,0,0,3666,3666
p9821,Ｐジューシーハニーハーレム,0,0,0,0,0,3400,3400
p9842,ｅキャッツ・アイ,0,0,0,0,0,3350,3257
p9742,Ｐゴッドイーター神がかりＶｅｒ．,0,0,0,0,0,3250,3000
p9997,ｅＦマクロスフロンティア５,0,0,0,0,0,3166,3166
p9708,ＰＦクィーンＲＵＳＨ,0,0,0,0,0,3166,3400
p9782,Ｐ神・天才バカボン～甘神ＳＰＥＣ～,0,0,0,0,0,3071,3500
p9754,Ｐビッグドリーム３,0,0,0,0,0,3000,3000
p9757,Ｐ桃剣閃撃　極,0,0,0,0,0,3000,3000
p9709,Ｐ緋弾のアリア～緋弾覚醒編～３１９Ｖｅｒ．,0,0,0,0,0,3000,3000
p9826,Ｐ銀河鉄道９９９　Ｎｅｘｔ　Ｊｏｕｒｎｅｙ　１／１００ｖｅｒ．,0,0,0,0,0,2833,2833
p9948,Ｐ　ＣＹＢＯＲＧ００９　ＲＵＬＥ　ＯＦ　ＳＡＣＲＩＦＩＣＥ,0,0,0,0,0,2375,2375
p9718,Ｐワンパンマン,0,0,0,0,0,2333,4000
p9737,Ｐもっとあぶない刑事,0,0,0,0,0,2300,4483
p9902,ＰＦありふれた職業で世界最強,0,0,0,0,0,2142,1666
p9973,Ｐ　異世界魔王と召喚少女の奴隷魔術,0,0,0,0,0,1750,16571
p9729,Ｐ聖闘士星矢　超流星　星矢ゴールドｖｅｒ．９２％,0,0,0,0,0,1666,2000
p9701,ぱちんこ　キン肉マン３　キン肉星王位争奪編　特盛ミートくんｖｅｒ．,0,0,0,0,0,1000,1000
p9608,ぱちんこ　仮面ライダー　闇のライダーｖｅｒ．,0,0,0,0,0,1000,1000
p9587,ぱちんこ　キン肉マン３　キン肉星王位争奪編　友情シルバー,0,0,0,0,0,1000,1000
p9586,ぱちんこ　キン肉マン３　キン肉星王位争奪編　火事場ゴールド,0,0,0,0,0,1000,1000
p9506,ぱちんこ　乃木坂４６,0,0,0,0,0,1000,1000
