機種ID,メーカーID,メーカー名,パチンコ/スロット区分,PW機種コード,機種名,機種名カナ,検索用機種名カナ,機種グループ,機種ジャンル,販売年月日,予定販売台数,機種URL,MAX設置台数,MAX設置台数記録日,MAX設置店舗数,MAX設置店舗数記録日,備考,登録日時,更新日時,機種タイプ,確変タイプ,確率タイプ,大当り確率,高確率時確率,確変突入率,確変継続率,確変継続率タイプ,潜伏確変有無,賞球数,カウント数,ラウンド数,コインサイズ,機種タイプ,ARTタイプ,1G純増枚数,1G純増枚数タイプ,テーブル管理有無,天井ゲーム数,ボーナス獲得枚数,ART獲得枚数,ボーナス・ART確率,出玉率,型式名,検定日(東京),検定番号,PB機,管理遊技機,機種区分,設定,遊タイム,ラッキートリガー,デカヘソ,PB機,高射幸性機,メダルレス,規則区分,ボーナストリガー,みなし機,メーカーグループID,メーカーグループ名,公示日東京都検定,P区分,S区分,コード
100029,24,サミー,1,p0032,ＣＲアラビアンチャンス,アラビアンチャンス,アラビアンチャンス,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,32
100030,21,京楽,1,p0033,ＣＲアラビアンハーレムＥＸ１,アラビアンハーレム,アラビアンハーレム,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,33
100031,26,三洋,1,p0034,ＣＲウエスタンバー２,ウエスタンバー,ウエスタンバー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,34
100032,21,京楽,1,p0035,ＣＲウルトラダイナマイト２,ウルトラダイナマイト,ウルトラダイナマイト,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,35
100033,21,京楽,1,p0036,ＣＲウルトラダイナマイト３,ウルトラダイナマイト,ウルトラダイナマイト,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,36
100034,48,西陣,1,p0037,ＣＲエーストレイン,エーストレイン,エーストレイン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,37
100035,16,奥村,1,p0038,ＣＲエンペラー,エンペラー,エンペラー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,38
100036,21,京楽,1,p0039,ＣＲオーシャンパラダイス,オーシャンパラダイス,オーシャンパラダイス,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,39
100037,16,奥村,1,p0040,ＣＲオーシャンブルー,オーシャンブルー,オーシャンブルー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,40
100038,24,サミー,1,p0041,ＣＲガオガオキッズ４,ガオガオキッズ,ガオガオキッズ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,41
100039,21,京楽,1,p0042,ＣＲガンマン,ガンマン,ガンマン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,42
100040,21,京楽,1,p0043,ＣＲガンマン２,ガンマン,ガンマン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,43
100041,61,平和,1,p0044,ＣＲキッカーズ,キッカーズ,キッカーズ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,44
100042,49,ニューギン,1,p0045,ＣＲキューティーバニー３,キューティーバニー,キューティーバニー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,45
100043,26,三洋,1,p0046,ＣＲギンギラパラダイス,ギンギラパラダイス,ギンギラパラダイス,9999,4,,,,0,42137,1,42137,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,46
100044,36,タイヨーエレック,1,p0047,ＣＲクィーンカップ,クィーンカップ,クィーンカップ,9999,4,,,,2,42354,1,42354,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,47
100045,24,サミー,1,p0048,ＣＲくだもの畑,クダモノバタケ,クダモノバタケ,9999,4,,,,2,42781,2,42781,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,48
100046,64,マルホン,1,p0049,ＣＲクレイジー博士,クレイジーハカセ,クレイジーハカセ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,49
100047,64,マルホン,1,p0050,ＣＲゴールデンキャッツ,ゴールデンキャッツ,ゴールデンキャッツ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,50
100048,24,サミー,1,p0051,ＣＲゴールドラッシュ,ゴールドラッシュ,ゴールドラッシュ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,51
100049,33,大一,1,p0052,ＣＲごくうの大遊記,ゴクウノダイユウキ,ゴクウノダイユウキ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,52
100050,44,豊丸,1,p0053,ＣＲコマコマ倶楽部３,コマコマクラブ,コマコマクラブ,9999,4,,,,2,41892,2,41892,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,豊丸,,,,53
100051,16,奥村,1,p0054,ＣＲサーカス３,サーカス,サーカス,9999,4,,,,4,45511,1,45511,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,54
100052,61,平和,1,p0055,ＣＲサイころん,サイコロン,サイコロン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,55
100053,61,平和,1,p0056,ＣＲサクセスストーリーＳＰ,サクセスストーリー,サクセスストーリー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,56
100054,16,奥村,1,p0057,ＣＲサンシャイン,サンシャイン,サンシャイン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,57
100055,49,ニューギン,1,p0058,ＣＲジャンケンパーク,ジャンケンパーク,ジャンケンパーク,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,58
100056,48,西陣,1,p0059,ＣＲジューシービートＥＸ,ジューシービート,ジューシービート,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,59
100057,60,藤商事,1,p0060,ＣＲシューティングスター２,シューティングスター,シューティングスター,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,60
100058,49,ニューギン,1,p0061,ＣＲジョーカー２,ジョーカー,ジョーカー,9999,4,,,,3,45511,1,45511,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,61
100059,79,ＳＡＮＫＹＯ,1,p0062,ＣＲＦアラビアンＧＰ,アラビアン,アラビアン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ＳＡＮＫＹＯ,,,,62
100060,61,平和,1,p0063,ＣＲスーパーダンク,スーパーダンク,スーパーダンク,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,63
100061,38,高尾,1,p0064,ＣＲスーパーベビー２,スーパーベビー,スーパーベビー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,高尾,,,,64
100062,26,三洋,1,p0065,ＣＲスーパーボーイ２,スーパーボーイ,スーパーボーイ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,65
